"cluster_id","start_index","end_index","start_date","end_date","cluster_size","cluster_duration_trading_days","cluster_max_loss","cluster_max_excess","cluster_max_date","z_vol_at_cluster_max","t_scaled_at_cluster_max","rv21_lag_at_cluster_max"
114,7048,7048,2021-02-25,2021-02-25,1,1,0.0243906722094573,0.000189964938742897,2021-02-25,0.263240445409211,1.17976530259578,0.00993949443887684
115,7307,7307,2022-03-07,2022-03-07,1,1,0.029922603946444,0.00572189667572953,2022-03-07,0.978988179164549,1.28677255644706,0.0141904306836342
116,7340,7351,2022-04-22,2022-05-09,5,12,0.0376556775435759,0.0134549702728615,2022-04-29,0.910896159356406,1.30247246241751,0.0137178126777499
117,7358,7358,2022-05-18,2022-05-18,1,1,0.0411466318039082,0.0169459245331938,2022-05-18,1.73951299991167,1.30784348288109,0.020715745715506
118,7374,7378,2022-06-10,2022-06-16,3,5,0.038707612193801,0.0145069049230866,2022-06-13,1.47095248622036,1.31486712502577,0.0181250966002155
119,7427,7427,2022-08-26,2022-08-26,1,1,0.0344349066113088,0.0102341993405943,2022-08-26,0.378084482681332,1.33635120688008,0.010523867802473
120,7438,7438,2022-09-13,2022-09-13,1,1,0.0444560604492219,0.0202553531785075,2022-09-13,0.819237427694726,1.3408959165031,0.0131063804239148
121,7456,7456,2022-10-07,2022-10-07,1,1,0.0282904351392981,0.00408972786858363,2022-10-07,1.40624462228137,1.34833271406806,0.017550954477931
122,7474,7474,2022-11-02,2022-11-02,1,1,0.0254165045482839,0.00121579727756948,2022-11-02,1.31814840937491,1.35576951163301,0.0167984145095207
123,7504,7504,2022-12-15,2022-12-15,1,1,0.0247659582075821,0.000565250936867649,2022-12-15,0.529576976578975,1.36816417424127,0.011347601182781
124,7913,7913,2024-08-05,2024-08-05,1,1,0.0295560317364938,0.00535532446577935,2024-08-05,0.354678471768385,1.53714474113382,0.0104020446126894
125,8008,8008,2024-12-18,2024-12-18,1,1,0.0302564013188373,0.00605569404812289,2024-12-18,-1.58577880317261,1.57639450605996,0.00396186094662129
126,8061,8061,2025-03-10,2025-03-10,1,1,0.0269967750652951,0.00279606779458063,2025-03-10,0.24915790305531,1.59829174333454,0.00987010743995565
127,8079,8084,2025-04-03,2025-04-10,3,6,0.0603265958099657,0.0361258885392512,2025-04-04,1.25658676253992,1.60614169631977,0.0162917755100424
128,8210,8210,2025-10-10,2025-10-10,1,1,0.0273998325389631,0.00319912526824861,2025-10-10,-1.56361176852444,1.65985190095555,0.00400579048019993
129,8373,8373,2026-06-05,2026-06-05,1,1,0.0261482770861869,0.0019475698154725,2026-06-05,-0.724193805747615,1.7271962344604,0.00608187409281929
